video_id,channel_id,video_title,description,channel_title,view_count,exported_already,date_of_export,embed_url
l1wQKbcOpSQ,UCqZQlzSHbVJrwrn5XvzrzcA,l1wQKbcOpSQ,"Spurs handed Manchester United a historic beatdown at Old Trafford, hanging six goals on the hosts for only the second time in the Premier League era. #NBCSports #PremierLeague #ManchesterUnited #Tottenham
» Subscribe to NBC Sports: https://www.youtube.com/nbcsports?sub_confirmation=1
» Watch Live Sports on NBCSports.com: http://www.nbcsports.com/live
» Get more Premier League news on NBC Sports: https://nbcsports.com/soccer/premier-league

Want more Premier League? Check out Peacock Premium: peacocktv.com/premierleague

NBC Sports Group serves sports fans 24/7 with premier live events, insightful studio shows, and compelling original programming. NBC Sports is an established leader in the sports media landscape with an unparalleled collection of sports properties that include the Olympics, NFL, Premier League, NHL, NASCAR, PGA TOUR, the Kentucky Derby, Tour de France, French Open, IndyCar and many more. 
Subscribe to our channel for the latest sporting news and highlights!

The Premier League across NBC Sports Group launched in 2013 with their biggest and broadest programming commitment to-date in the United States. With live multi-platform coverage of all 380 games, analysis from best-in-class talent and extensive surrounding coverage all week long, NBC Sports Group has become the ultimate destination for new and existing Premier League fans.

The Premier League maintains strong and consistent reach across NBC, NBCSN, CNBC, and NBC Sports Group’s live streaming products, led by the biggest stars and most prestigious teams in the world.

Visit NBC Sports: https://www.nbcsports.com
Find NBC Sports on Facebook: https://www.facebook.com/NBCSports
Follow NBC Sports on Twitter: https://twitter.com/nbcsports
Follow NBC Sports on Instagram: https://www.instagram.com/nbcsports/

https://www.nbcsports.com/nfl/sunday-night-football
https://nbcsports.com/motors/nascar
https://nbcsports.com/soccer/premier-league

Manchester United v. Tottenham | PREMIER LEAGUE HIGHLIGHTS | 10/4/2020 | NBC Sports
https://www.youtube.com/nbcsports",Manchester United v. Tottenham | PREMIER LEAGUE HIGHLIGHTS | 10/4/2020 | NBC Sports,679562,False,,https://www.youtube.com/embed/l1wQKbcOpSQ
qheMLOTS7-w,UCMnJuJs9pBAYgY-3NPuWnbA,qheMLOTS7-w,"We've all played Among Us, the mystery game that makes us yell at each other until we're not friends anymore, but what if it happened in real life? Are you a CREWMATE or an IMPOSTER? Would you blame everyone just so you wouldn't get blamed? The only thing we know, is there's an imposter AMONG US... Enjoy!

Subscribe: http://bit.ly/sub2youtwo
Behind The Scenes: http://bit.ly/youtwotvvlogs

FOLLOW US EVERYWHERE:
Facebook: http://facebook.com/YouTwoTV
Twitter: http://twitter.com/itsyoutwotv
Instagram: http://instagram.com/youtwotv
TikTok: http://tiktok.com/@youtwotv

PERSONAL ACCOUNTS:
Jaz's Twitter: http://twitter.com/sincerelyxjaz
Harjit's Twitter: http://twitter.com/whoisharjit
Jaz's Instagram: http://instagram.com/sincerelyxjaz
Harjit's Instagram: http://instagram.com/whoisharjit
Harjit's Twitch: http://twitch.tv/whoisharjit
Harjit's Gaming Tik Tok: http://tiktok.com/@whoisharjit

Shout outs to Marie & Erick for being in the video!
http://instagram.com/callhervivo
http://instagram.com/epleitez

Business inquiries: youtwotv@gmail.com

OUR CAMERA EQUIPMENT + STUFF WE LOVE
https://www.amazon.com/shop/youtwotv

Outro Music By Sickick: https://youtu.be/56WndKK9ao8
Background Music By: http://share.epidemicsound.com/zbr6J 

Hey! We're YouTwoTV aka Jaz and Harjit, welcome to our channel. We mostly put up sketches about relationships, school, being rich vs being broke and just some real life relatable stuff! We're a Canadian couple, living in LA, just trying to make some funny stuff.

If you're still reading this, comment ""Ariana Grande is the IMPOSTER"".",Among Us In Real Life,122223,False,,https://www.youtube.com/embed/qheMLOTS7-w
j5xCVovC80E,UCb--64Gl51jIEVE-GLDAVTg,j5xCVovC80E,"Dr. Sean Conley: ""This morning the president is doing very well...at this time the team and I are extremely happy with the progress the president has made."" https://cs.pn/34ofrsT",Walter Reed Medical Center News Conference on President Trump,1268965,False,,https://www.youtube.com/embed/j5xCVovC80E
vr9qVfYWfKs,UCsrK1UOY5thI1EmBe-3CPvQ,vr9qVfYWfKs,"Top 15 Tips & Tricks in Among Us | Ultimate Guide To Become a Pro #2

Win by completing tasks to prepare the ship or ejecting all impostors
React quickly to find the imposter
Check the admin map and security cameras to keep tabs on other Crewmates",Top 15 Tips & Tricks in Among Us | Ultimate Guide To Become a Pro #2,3400349,False,,https://www.youtube.com/embed/vr9qVfYWfKs
vdJ3_lKuGe0,UCW0uwJNcMTiOFXXgyS2no4g,vdJ3_lKuGe0,"We have our own unique way of playing Rock Paper Scissors and we want to teach everyone how to play it this way!

@rdcworld1
@supremedreams_1",How To Play Rock Paper Scissors Like RDC World !,494948,False,,https://www.youtube.com/embed/vdJ3_lKuGe0
lCPPsY0Ssp0,UCSWoppsVL0TLxFQ2qP_DLqQ,lCPPsY0Ssp0,"The man in custody in the attempted killing of two Los Angeles County Sheriff’s deputies was taken into custody after a suspected carjacking. Eric Leonard reports for the NBC4 News on Wednesday, Sept. 30, 2020.
———

Don’t miss an NBCLA video, subscribe here: https://bit.ly/2NnofFF
For more, visit NBCLA.COM here: https://bit.ly/2uB6niE
On Facebook: https://bit.ly/2uFU1px
On Twitter: https://bit.ly/2JsBm5Y

About NBCLA

The West Coast flagship station of the NBCUniversal Owned Television Stations, serving the vast region since 1949. NBC4 produces 43 hours each week of local news and weather, and the station features the largest award-winning investigative unit in Southern California. NBC4’s news operation has received nearly every industry award bestowed on local news, including numerous Los Angeles Emmy and Golden Mike Awards, two national and two regional Edward R. Murrow Awards, and a Peabody Award. NBC4 news is delivered across the main broadcast on channel4, at www.nbcla.com, and through multiple interactive social media platforms 24/7. The NBC  Owned Television Stations, a division of NBCUniversal, also operates COZI TV (www.cozitv.com), a national network that brings viewers some of America’s most beloved and iconic television shows and movies.

#NBC #NBCLA",Suspected Triggerman in Shooting of Two Deputies Faces Charges | NBCLA,320315,False,,https://www.youtube.com/embed/lCPPsY0Ssp0
uvrC_9ZyJl4,UCptRmkkO5t2wGbF2qyjaMCA,uvrC_9ZyJl4,"yea
Text me! +1 (949) 577-8240 
GET MERCH! http://dontbesadshop.com
Try My CBD: http://icbdoils.co

Turn on my notifications and Follow me for more!
InstaGram @ScottySire
Twitter/Snapchat @imnotscottysire 
Tik Tok @ScottySire 

I MAKE MUSIC!
My Newest Song https://ffm.to/menaretrash
MY MUSIC VIDEOS: http://bit.ly/2OlWNNa
Spotify- https://spoti.fi/2LvP25b

For business: business@scottysire.com

In the Video:

my friends

Merch Company: http://swipeupinc.com

If you finish reading this try to comment expialidocious with your eyes closed.",Surprising Girlfriend with Dream Living Room!,559600,False,,https://www.youtube.com/embed/uvrC_9ZyJl4
rmkGOy7pS4I,UC1sELGmy5jp5fQUugmuYlXQ,rmkGOy7pS4I,Caves. Cliffs. DLC. Mobs. Items. Content. Tools. And. More. Phew! Cramming all of the highlights from Minecraft Live into one video doesn’t leave much space for a caption! Read more at https://minecraft.net/live,Minecraft Live: Update Highlights,4120179,False,,https://www.youtube.com/embed/rmkGOy7pS4I
DE2xhP2u1co,UCDogdKl7t7NHzQ95aEwkdMw,DE2xhP2u1co,"SIDEMEN PLAY SPLIT OR STEAL
👉🏻 Subscribe to our 2nd Channel: https://www.youtube.com/MoreSidemen 👈🏻
👕: Sidemen Clothing: http://www.sidemenclothing.com
📸: Sidemen Instagram: http://www.instagram.com/Sidemen
🐤: Sidemen Twitter: http://www.twitter.com/Sidemen

✏️: SUBMIT A #SidemenSunday IDEA HERE
https://forms.gle/JDuGrSzM4F6mdo6D9

-----------------------------------------------------------------------------------------------------------------------

▶️ SIDEMEN ◀️

🔴 SIMON (Miniminter)
● http://www.youtube.com/Miniminter
● http://www.youtube.com/MM7Games
● http://www.instagram.com/Miniminter
● http://www.twitter.com/Miniminter

🔵 JOSH (Zerkaa)
● http://www.youtube.com/Zerkaa
● http://www.youtube.com/ZerkaaPlays
● http://www.instagram.com/Zerkaa
● http://www.twitter.com/ZerkaaHD

🔴 ETHAN (Behzinga)
● http://www.youtube.com/Behzinga
● http://www.youtube.com/Beh2inga
● http://www.instagram.com/Behzingagram
● http://www.twitter.com/Behzinga

🔵 VIK (Vikkstar123)
● http://www.youtube.com/Vikkstar123
● http://www.youtube.com/Vikkstar123HD
● http://www.youtube.com/VikkstarPlays
● http://www.instagram.com/Vikkstagram
● http://www.twitter.com/Vikkstar123

🔴 TOBI (Tobjizzle)
● http://www.youtube.com/TBJZL
● http://www.youtube.com/Editingaming
● http://www.instagram.com/Tobjizzle
● http://www.twitter.com/Tobjizzle

🔵 JJ (KSI)
● http://www.youtube.com/KSI
● http://www.youtube.com/KSIOlajidebtHD
● http://www.instagram.com/KSI
● http://www.twitter.com/KSIOlajidebt

🔴 HARRY (W2S)
● http://www.youtube.com/W2S
● http://www.youtube.com/W2SPlays
● http://www.instagram.com/Wroetoshaw
● http://www.twitter.com/Wroetoshaw","SIDEMEN $100,000 SPLIT OR STEAL",4132949,False,,https://www.youtube.com/embed/DE2xhP2u1co
NbNGxn9AEhs,UCPP291gN79qI1QZY1znOscg,NbNGxn9AEhs,"● Instagram - james_s_welsh
● Twitter - james_s_welsh

I talk a lot about the ordinary’s now iconic peeling solution and a lot of the comments on these videos seem to have this idea that I hate the ordinary now, especially as I no longer talk about a lot of the products I used to talk about non stop from them.

But the truth is, I’ve just moved on to what I consider nicer products and nicer formulations. 

So today I want to discuss the products that I used to love from the ordinary, why I don’t use them anymore and the products I prefer.

Before we get into it though, the ordinary is still an amazing brand, and just because I prefer other products, doesn’t mean they are better than what the ordinary has to offer. The ordinary is an iconic brand for a reason, good quality products that actually work at an amazing price point. 
And I’d recommend the ordinary to anyone who wants amazing skincare on a budget, or just in general. 

I will pre-warn a lot of the alternatives will be more expensive because….what brand isn’t more expensive than the ordinary!? 

PRODUCTS IN THIS VIDEO (*= affiliate link)

Glossier Super Pure:
https://www.glossier.com/products/super-pure

The Inkey list Niacinamide:
https://uk.theinkeylist.com/products/niacinamide?_pos=1&_sid=59561a6fe&_ss=r

THE ORDINARY Alpha Arbutin 2% + HA:
https://www.cultbeauty.co.uk/the-ordinary-alpha-arbutin-2-ha.html?ef_id=Cj0KCQjw5eX7BRDQARIsAMhYLP93zpqqF9GAqMjDSI-xxG9dYyuCMs9pYcBhcuD2u6fJrdjKk9-JU9YaAtTREALw_wcB:G:s&campaignid=850353343&adgroupid=54470750598&network=g&device=c&keyword=the%20ordinary%20alpha%20arbutin&placement=&creative=259322195666&gclid=Cj0KCQjw5eX7BRDQARIsAMhYLP93zpqqF9GAqMjDSI-xxG9dYyuCMs9pYcBhcuD2u6fJrdjKk9-JU9YaAtTREALw_wcB

Paula's Choice 10% Azelaic Acid Booster:
https://www.paulaschoice.co.uk/aa-booster-m7750.html

The Inkey List HA:
https://www.cultbeauty.co.uk/the-inkey-list-hyaluronic-acid-serum.html

JORDAN SAMUEL SKIN
Hydrate Facial Serum:
https://www.cultbeauty.co.uk/jordan-samuel-skin-hydrate-facial-serum.html


ICON MEANINGS: 

Present - Gifted Item (Product was sent to me as a gift, no money has been exchanged and there is no obligation to feature product(s) on social platforms)

AD Megaphone - Sponsored item (Brand has paid me money and I have signed a contract for the item to appear in the video. This may be a quick feature or a whole dedicated product) 

Chain Link - Sponsored Affiliate Link (The video has been sponsored and an affiliate link to the sponsored product is a requirement in the video. The link used for the sponsored item is tracked by the brand and I make a small percentage of that sale)

Dollar Bill - Bought with my own money (Product was paid for with my own money and I have no attachment to the brand in the particular video) 

Any link to product may be an affiliate link. Please know that products featured in my videos are never chosen with 'selling' or making profit in mind. However, I do make a very small commission from any purchases made through my affiliate links, so if you'd like to support my channel, you can shop via these links! 

✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖

DISCOUNT CODES / AFFILIATE LINKS: 

YESSTYLE: JAMES10

BANISH DERMA ROLLER / STAMP KITS: 

https://banish.com?rfsn=98800.1d804
DISCOUNT CODE: JAMES5 

✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖
For more videos about Korean Skin care, Kbeauty, hair tips and tutorials, skin care routines,  products trials, Hauls, reviews and lifestyle, then be sure to subscribe and don’t forget to leave your questions down below!
✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ 
Remember that skincare is extremely personal to everybody's skin. What works for me, may not work for you. But I hope my videos give you some good ideas for products, techniques and Ingredients to try.
Also, i'm obviously not a dermatologist or a doctor, so all opinions on products and anything else i'm presenting, is results and findings from my own experience and research. 
And that's why i'm here, to share my research and my findings that go further than what is said on the bottle or google!
But, everything I present is always a discussion for you to join in with :) 
If you have any serious skin concerns, please see a dermatologist / doctor. 
✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ ✖ 
Ad Disclaimer : The opinions expressed in my videos are all my own honest feelings. I will only work with brands and products that I truly love and use.  Working with brands allows me to invest in my channel and create better quality videos for you guys :)",Why I No Longer Use The Ordinary - The Ordinary Alternatives ✖  James Welsh,160690,False,,https://www.youtube.com/embed/NbNGxn9AEhs
