video_id,channel_id,video_title,description,channel_title,view_count,exported_already,date_of_export,embed_url
_AXx2XSI4Kw,UCsTcErHg8oDvUnTzoqsYeNw,Unboxing the Apple Mask,"Here it is.. The official Apple mask.
Latercase - https://latercase.com

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy",Unbox Therapy,7114923,False,,https://www.youtube.com/embed/_AXx2XSI4Kw
3NRriVUjErM,UCjgpFI5dU-D1-kh9H1muoxQ,REAL IRON MAN REPULSOR + GIVEAWAY!,"Get Honey for FREE and start saving money today ► http://joinhoney.com/hacksmith
Thanks Honey for sponsoring this video! 
Enter the Helmet Giveaway ► https://forms.gle/ZobtfubkFzkU626AA

Try Altium Designer for Free and start designing your own PCBs ► https://www.altium.com/yt/TheHacksmith
View & share electronic designs online ►https://www.altium.com/viewer/

https://jlcpcb.com/  $2  2Layer 5PCBs,  $5  4 Layer 5PCBs

Pre-order the MK5 Helmet from Joetoys ► https://joetoyss.com/collections/iron-man-1/products/iron-man-mk5-helmet (and use Honey to get an exclusive coupon!)
#ad

Check out Alex Lab's hydrogen based repulsor ► https://www.youtube.com/watch?v=FDVrM929s70

Become a Hacksmith member get exclusive perks! ► https://www.youtube.com/channel/UCjgpFI5dU-D1-kh9H1muoxQ/join
►Watch videos early! 
►Project design files (solidworks)
►Merch Discounts 
►Collaborate with us on our videos 

SOCIAL
Website ► http://www.hacksmith.tech
Facebook ► http://www.facebook.com/thehacksmith
Instagram ► http://www.instagram.com/thehacksmith
Twitter ► http://twitter.com/thehacksmith
Patreon ► http://www.patreon.com/thehacksmith
Discord ► https://discordapp.com/invite/thehacksmith 
Merch ► https://www.hacksmith.store

CHAPTERS:  
0:00 Intro
0:21 James Calls Out Elon Musk
1:17 Build Intro
2:41 What Is Iron Mans Gauntlet Anyway?
3:31 James Talks High Powered Lasers
4:57 How To Win The Iron Man Helmet
5:50 Bogdan Designs The PCB
7:44 James Assembles The Cooling System
10:13 The Gauntlet Arrives
11:08 Final Assembly
13:24 The Finished Product
13:54 Testing The Gauntlet
17:18 Outro

MUSIC:
Jump Jive And Sing The Elvis Schoenbergs Orchestra
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Thunder by Blakewolf
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Sirens by Your Neighbors
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Strain by DWANINUNGKA
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

I’m Gonna Fly by Todd Herfindal
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Defending The Future by Kelty Woods
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Spaghetti And Rock N Roll by Your Neighbors
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

Lift Me Higher by Bamtone
Licensed from Triple Scoop Music ►
https://triplescoopmusic.com/

SOFTWARE:
Video Review / Collaboration ► http://r.frame.io/pZq3N
Video Editing ► Adobe Premiere 
VFX ► https://productioncrate.grsm.io/Hacksmith
CAD ► Solidworks 
CAM ► Autodesk HSM http://bit.ly/HSMworks

CAMERA GEAR:
Highspeed Cam - Chronos 1.4 ► http://bit.ly/chronosCam
Main shooter - Panasonic GH5s ► https://bhpho.to/2Fjd80N 
Phone - Samsung S10  ► https://bhpho.to/2N8FOh8
Camcorder - Sony Handycam ► https://bhpho.to/2FDnq81 
Action Cam - GoPro ► https://bhpho.to/2FxXDC4 
Steadicam - Removu K1 ► https://bhpho.to/2N9lDQq 
Main mic - Sennheiser ► https://bhpho.to/2DsR8ec
Bendy Tripod ► https://bhpho.to/2FyLNb0 
Main Tripods - old second hand Manfrotto tripods no longer sold. 
Studio Light - Luxli ► https://bhpho.to/2N9SPav

TOOLS / MACHINES: 
CNC Waterjet Cutter ► http://bit.ly/wazerJet
CNC Plasma Cutter ► http://bit.ly/EMTplasma
3d Printers ► http://bit.ly/H1Printer
CNC Mill ►  http://bit.ly/PCNC440
CNC Lathe ► http://bit.ly/15LSlantPro
Laser Cutter - Gweike LG900N 80W ► http://lmgtfy.com/?q=lg900n 
3d Scanner ► http://amzn.to/2pwbvTu
Drills, drivers, grinders, saws, etc ► http://amzn.to/2p9SPJ3 
Mig Welder ► http://bit.ly/MP250iWelder
Tig Welder ► http://bit.ly/Tig200Welder
Quiet Air Compressor ► http://bit.ly/38zVKzB
Desktop PC ► https://youtu.be/gSbt3LK8hCs 

Purchases made through some store links may provide some compensation to Hacksmith.

WARNING: THESE VIDEOS ARE FOR ENTERTAINMENT PURPOSES ONLY. PERSONAL USE OF VIDEO CONTENT IS AT YOUR OWN RISK. THE HACKSMITH IS A TRAINED PROFESSIONAL WHO KNOWS EXACTLY WHAT HE'S DOING. EXCEPT WHEN HE DOESN'T. DO NOT ATTEMPT TO RECREATE OR RE-ENACT ANYTHING SHOWN IN THESE VIDEOS.

#makeitreal #ironman",the Hacksmith ,3331157,False,,https://www.youtube.com/embed/3NRriVUjErM
-MyvZMiRGvE,UCEf_Bc-KVd7onSeifS3py9g,SuperM 슈퍼엠 ‘One (Monster & Infinity)’ MV,"SuperM's 1st album ""Super One"" is out!
🎧 Listen and download on your favorite platform: https://SuperM.lnk.to/SuperOne

SuperM x Marvel merch out now!👇
🎁https://SuperM.lnk.to/OfficialStore
🎁http://smglobalshop.com/


►Subscribe to SuperM on YouTube!
https://www.youtube.com/superm?sub_co...

►SuperM Official
https://www.supermofficial.com
https://www.youtube.com/SuperM
https://www.twitter.com/SuperM
https://www.instagram.com/SuperM
https://www.facebook.com/SuperM


#SuperM #슈퍼엠 #One #SuperOne #WeAreTheFuture #SuperMthefuture
SuperM 슈퍼엠 ‘One (Monster & Infinity)’ MV ℗© SM Entertainment under exclusive license to UMG Recordings, Inc.",travisistired ,9227073,False,,https://www.youtube.com/embed/-MyvZMiRGvE
I3f05qYeVl8,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),"Performing “In Your Eyes” with special guest Kenny G for the first-ever TIME100 primetime TV event, which revealed TIME’s annual list of the world’s most influential people on September 22, 2020.",The Weeknd,399962,False,,https://www.youtube.com/embed/I3f05qYeVl8
0kQJOSVwqwc,UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly - play this when i'm gone (Official Audio),"Machine Gun Kelly - Tickets To My Downfall is available now!
https://smarturl.it/TTMDmgk


Follow Machine Gun Kelly:
https://twitter.com/machinegunkelly
https://www.facebook.com/machinegunkellymusic
https://www.instagram.com/machinegunkelly

#MGK #TicketsToMyDownfall #PlayThisWhenImGone",Machine Gun Kelly ,647836,False,,https://www.youtube.com/embed/0kQJOSVwqwc
7gVNNPv8w4Q,UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly ft. Halsey - forget me too (Official Audio),"Machine Gun Kelly - Tickets To My Downfall is available now!
https://smarturl.it/TTMDmgk

Follow Machine Gun Kelly:
https://twitter.com/machinegunkelly
https://www.facebook.com/machinegunkellymusic
https://www.instagram.com/machinegunkelly

#MGK #Halsey #TicketsToMyDownfall #ForgetMeToo",Machine Gun Kelly,1037604,False,,https://www.youtube.com/embed/7gVNNPv8w4Q
qBQgBll5-Wo,UCET00YnetHT7tOpu12v8jxg,FC Bayern Munich vs Sevilla | 2020 Super Cup Extended Highlights | UCL on CBS,"Bayern Munich won the UEFA Super Cup on Thursday in Budapest with a closer-than-expected 2-1 victory over Sevilla. In a match that featured the Champions League winners against the Europa League winners, it was the Bavarians who came from behind to win it in extra time.

After Lucas Ocampos' opening goal in the 13th minute from a penalty kick, Bayern began to dominate possession and shots, though they weren't as convincing in front of goal as they were in Friday's 8-0 win over Schalke. It was Leon Goretzka's equalizer in the 34th minute that forced extra time as Javi Martinez headed home the winner in the 104th minute.

The victory for Bayern was their 23rd straight, stretching the club's unbeaten streak to 28 games.  

Stream every UEFA Champions League match live on CBS All Access:
http://bit.ly/ucloncbssports


#SuperCup #BayernMuich #Sevilla #UEFA #Soccer #EuropeanSoccer #FCBayernMunich #2020SuperCup",Champions League on CBS Sports ,558204,False,,https://www.youtube.com/embed/qBQgBll5-Wo
Bv-1BnoB75k,UCFl7yKfcRcFmIUbKeCA-SJQ,Joji - Like You Do,"Joji - Like You Do
NEW ALBUM NECTAR OUT NOW: https://88rising.lnk.to/NectarID
OFFICIAL MERCH: https://jojimusic.com

Joji
http://instagram.com/sushitrash
http://twitter.com/sushitrash
http://facebook.com/jojikansai

88rising
http://instagram.com/88rising
http://twitter.com/88rising
http://facebook.com/88rising",Joji ,1306005,False,,https://www.youtube.com/embed/Bv-1BnoB75k
Y3vr1DkhPv4,UC0BletW9phE4xHFM44q4qKA,Juice WRLD - Up Up and Away (Official Lyric Video),"Juice WRLD - Legends Never Die is available now: https://smarturl.it/legendsneverdieJW
#LLJW🕊

Directed by Dominic Fernandez / D2R @d2r_designs
Executive Produced by GRADE A Productions (Lil' Bibby, George “G-Money” Dickinson, Peter ""Pete"" Jideonwo, )

Subscribe to the official Juice WRLD channel for new music, updates and behind the scenes footage click here: http://bit.ly/Sub-to-JuiceWrld

Check out more Juice WRLD here:
Soundcloud - https://soundcloud.com/uiceheidd/sets...
Twitter - https://twitter.com/JuiceWorlddd
Insta - https://www.instagram.com/juicewrld999/

Subscribe to the official Juice WRLD channel for new music, updates and behind the scenes footage click here: http://bit.ly/Sub-to-JuiceWrld

Check out more Juice WRLD here:
Soundcloud - https://soundcloud.com/uiceheidd/
Twitter - https://twitter.com/JuiceWorlddd
Insta - https://www.instagram.com/juicewrld999/

#JuiceWRLD #LegendsNeverDie #UpUpAndAway #999",Juice WRLD ,916580,False,,https://www.youtube.com/embed/Y3vr1DkhPv4
QMPNW1Oh8sc,UChi08h4577eFsNXGd3sxYhw,Charles Barkley Pushes Back On Breonna Taylor Case,"Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA

Get MORE of The Breakfast Club:
► WATCH MORE: https://www.youtube.com/user/breakfastclubpowerfm
► LISTEN LIVE: https://TheBreakfastClub.iheart.com/
► CATCH UP on What You Missed: http://ihe.art/Dx2xSGN
► FOLLOW The Breakfast Club on Instagram: https://www.instagram.com/BreakfastClubAM/
► FOLLOW The Breakfast Club Twitter: https://twitter.com/BreakfastClubAM
► LIKE The Breakfast Club on Facebook: https://www.facebook.com/BreakfastClubAM/


Get more Power 105: 
► Listen LIVE: http://power1051fm.com/
► Facebook: https://www.facebook.com/Power1051NY/
► Twitter: https://twitter.com/power1051/
► Instagram: https://www.instagram.com/power1051/


The Breakfast Club features celebrity interviews, Charlamagne tha God’s Donkey of the Day, Angela Yee’s Rumor Reports, DJ Envy’s mixes and so much more! Every guest visiting the world’s most dangerous morning show is grilled with their signature blend of honesty and humor. The results are the best interviews to be found on radio.

#BreakfastClub
#DonkeyOfTheDay",Breakfast Club Power 105.1 FM,496506,False,,https://www.youtube.com/embed/QMPNW1Oh8sc
